Breed Name,Description,Dog Size,Dog Breed Group,Height,"Avg. Height, cm",Weight,"Avg. Weight, kg",Life Span,"Avg. Life Span, years",Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All Around Friendliness,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Physical Needs,Energy Level,Intensity,Exercise Needs,Potential For Playfulness
Bluetick Coonhound,"Bluetick Coonhounds are skilled scent hounds with a striking blue mottled coat and a keen sense of smell. They are energetic and determined dogs, often used for hunting and as loyal family pets.
",Very Large,Hound Dogs,23 to 30 inches tall at the shoulder,67.31,45 to 100 pounds,32.62,10 to 12 years,11,2.8,2,2,5,2,3,3,4.33,5,5,3,3,3.2,2,2,5,4,3,3,3.4,2,4,3,4,4,5,4.67,5,4,5,5
Bocker,"Bockers are a cross between Beagles and Cocker Spaniels, combining the Beagle's friendly demeanor with the Cocker's affectionate nature. They are playful and sociable dogs, often forming strong bonds with their families.
",Large,Mixed Breed Dogs,12 to 15 inches ,34.29,20 to 30 pounds ,11.25,12 to 15 years ,14,3.4,5,3,5,1,3,4,4.33,5,4,4,4,2.8,3,1,3,3,4,2,4.4,4,4,4,5,5,5,3.67,4,3,4,4
Boerboel,"Boerboels are powerful and protective South African mastiffs known for their muscular build and imposing presence. They are loyal and devoted companions, often serving as guardians for their families.
",Very Large,Working Dogs,22 to 28 inches,63.5,110 to 200 pounds,69.75,10 to 12 years,11,2,1,1,3,2,3,4,3.33,4,4,2,2,3.6,3,4,4,4,3,5,3,2,4,3,3,3,4,3.67,3,4,4,4
Boglen Terrier,"Boglen Terriers are a mix of Beagles and Boston Terriers, combining the Beagle's hunting instincts with the Boston's friendly personality. They are playful and affectionate dogs, making them delightful companions for families.
",Large,Mixed Breed Dogs,12 to 17 inches ,36.83,10 to 40 pounds,11.25,10 to 15 years ,12,3.2,4,4,4,2,2,3,5,5,5,5,5,2.6,2,1,4,3,3,2,3.2,2,2,4,4,4,5,4.33,4,5,4,5
Bohemian Shepherd,"Bohemian Shepherds are Czech herding dogs known for their intelligence and loyalty. They are versatile working dogs, excelling in various tasks such as herding, obedience, and search and rescue.
",Very Large,Herding Dogs,19 to 22 inches,52.07,35 to 60 pounds,21.38,10 to 15 years,12,3,2,3,4,2,4,3,4,4,4,4,3,3.2,4,1,4,4,3,3,3,4,5,2,2,2,3,3.67,4,3,4,5
Bolognese,"Bolognese are small Italian toy dogs with a distinctive white coat and a cheerful disposition. They are affectionate and loyal companions, often forming strong bonds with their families.
",Small,Companion Dogs,9 to 12 inches tall at the shoulder,26.67,8 to 14 pounds,4.95,12 to 14 years,13,3.4,5,3,5,2,2,3,5,5,5,5,5,2.2,1,1,1,5,3,1,4.4,5,4,4,5,4,1,3.33,3,3,4,3
Borador,"Boradors are a mix of Border Collies and Labrador Retrievers, combining the Border Collie's intelligence with the Lab's loyalty. They are energetic and friendly dogs, often excelling in various canine sports and activities.
",Very Large,Hybrid Dogs,19 to 24 inches,54.61,40 to 65 pounds,23.62,10 to 15 years,12,2.6,3,3,2,2,3,3,4.33,5,4,4,4,3.4,4,3,3,3,4,4,3.4,4,5,3,3,2,3,3.67,4,3,4,5
Border Collie,"Border Collies are highly intelligent and energetic herding dogs known for their intense gaze and boundless energy. They are loyal and obedient companions, often excelling in obedience and agility competitions.
",Large,Herding Dogs,18 to 22 inches tall at the shoulder,50.8,30 to 45 pounds,16.88,12 to 15 years,14,2.8,2,2,5,1,4,4,4,5,4,3,5,2.4,3,1,3,2,3,3,3.6,5,5,3,3,2,3,4.33,5,3,5,5
Border Sheepdog,"Border Sheepdogs are a mix of Border Collies and Old English Sheepdogs, combining the Border Collie's herding instincts with the Sheepdog's protective nature. They are loyal and hardworking companions, often serving as guardians for their families.
",Large,Mixed Breed Dogs,16 to 22 inches,48.26,25 to 45 pounds,15.75,12 to 15 years,14,2.6,2,3,2,2,4,2,4,5,4,3,3,2.6,3,1,3,4,2,3,4,4,5,4,3,4,2,4.33,5,3,5,4
Border Terrier,"Border Terriers are small but sturdy dogs with a wiry coat and a lively personality. They are intelligent and energetic, often displaying a fearless attitude that belies their small size.
",Medium,Terrier Dogs,10 to 11 inches tall at the shoulder,26.67,11 to 15 pounds,5.85,12 to 15 years,14,3,4,3,3,1,4,3,3.67,5,4,2,5,3,3,1,2,4,5,2,3.8,3,5,5,5,1,4,4.33,4,4,5,5
Bordoodle,"Bordoodles are a cross between Border Collies and Poodles, combining the Collie's intelligence with the Poodle's hypoallergenic coat. They are affectionate and playful dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,12 to 22 inches,43.18,30 to 60 pounds,20.25,12 to 15 years,14,3.6,4,4,3,3,4,4,4,4,5,3,2,3,2,2,4,4,3,3,3.2,4,5,3,2,2,3,2.67,3,2,3,4
Borzoi,"Borzois, also known as Russian Wolfhounds, are elegant and regal sighthounds known for their graceful appearance and gentle demeanor. They are loyal and affectionate companions, often forming strong bonds with their families.
",Very Large,Hound Dogs,26 to 32 inches tall at the shoulder,73.66,55 to 105 pounds,36,10 to 12 years,11,3.6,5,3,5,1,4,3,3.67,4,3,4,4,3.2,5,1,4,4,2,5,3.4,3,4,3,5,2,4,2,2,2,2,3
BoShih,"BoShihs are a mix of Boston Terriers and Shih Tzus, combining the Terrier's spunky personality with the Shih Tzu's affectionate nature. They are playful and sociable dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,12 to 15 inches ,34.29,10 to 20 pounds,6.75,12 to 15 years ,14,3,5,4,3,1,2,2,3,4,2,3,4,2.8,2,1,5,3,3,2,1.8,2,3,1,1,2,2,2.67,3,2,3,5
Bossie,"Bossies are a mix of Boston Terriers and Australian Shepherds, combining the Terrier's friendly demeanor with the Shepherd's intelligence. They are loyal and energetic dogs, often excelling in various canine sports and activities.
",Large,Mixed Breed Dogs,15 to 23 inches,48.26,25 to 40 pounds,14.62,12 to 15 years ,14,3,2,2,3,5,3,3,4,4,4,4,4,2.4,2,1,3,3,3,3,3.4,4,4,3,3,3,5,4.33,4,4,5,5
Boston Boxer,"Boston Boxers are a mix of Boston Terriers and Boxers, combining the Terrier's compact size with the Boxer's muscular build. They are playful and affectionate dogs, often forming strong bonds with their families.
",Large,Mixed Breed Dogs,15 to 23 inches,48.26,22 to 55 pounds,17.32,12 to 15 years,14,3,4,3,3,2,3,3,4,4,4,4,2,3.6,3,3,4,4,4,3,3.2,3,4,3,3,3,2,3.67,4,3,4,5
Boston Terrier,"Boston Terriers are small, friendly dogs known for their tuxedo-like coat and gentle disposition. They are affectionate and loyal companions, often forming strong bonds with their families.
",Medium,Companion Dogs,12 to 15 inches tall at the shoulder,34.29,10 to 25 pounds,7.88,13 to 15 years,14,4,5,4,5,3,3,2,4.67,4,5,5,4,3,2,1,5,4,3,2,3,4,4,2,2,3,5,4.33,4,5,4,5
Boston Terrier Pekingese Mix,"A mix of Boston Terriers and Pekingese, these dogs combine the Terrier's friendly demeanor with the Pekingese's regal appearance. They are playful and affectionate companions, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,10 to 15 inches,31.75,10 to 25 pounds,7.88,10 to 15 years,12,2.8,4,3,3,2,2,2,3.67,4,4,3,3,3.2,2,2,4,4,4,1,3,2,4,3,2,4,2,3,3,3,3,4
Bouvier des Flandres,"Bouvier des Flandres are large and powerful herding dogs with a distinctive rough coat and a loyal nature. They are intelligent and protective, often serving as guardians for their families.
",Very Large,Herding Dogs,23 to 26 inches tall at the shoulder,62.23,70 to 100 pounds,38.25,10 to 12 years,11,3,3,2,4,2,4,2,4,5,5,2,2,2.2,1,1,2,3,4,4,3.4,5,4,2,2,4,2,4.33,4,5,4,4
Boxador,"Boxadors are a mix of Boxers and Labrador Retrievers, combining the Boxer's muscular build with the Lab's friendly demeanor. They are energetic and loyal dogs, often excelling in various canine sports and activities.
",Very Large,Mixed Breed Dogs,23 to 25 inches,60.96,50 to 110 pounds,36,12 to 15 years,14,2,2,2,3,1,2,2,4.33,5,4,4,4,3.4,4,2,5,2,4,4,3.6,5,5,3,2,3,3,5,5,5,5,5
Boxer,"Boxers are medium-sized, muscular dogs known for their playful and affectionate nature. They are energetic and loyal companions, often forming strong bonds with their families.
",Very Large,Working Dogs,21 to 25 inches at the shoulder,58.42,60 to 70 pounds,29.25,10 to 12 years,11,2.8,4,3,4,1,2,1,4,5,4,3,4,3.4,4,2,5,2,4,3,3.2,4,4,2,3,3,3,5,5,5,5,5
Boxerdoodle,"Boxerdoodles are a mix of Boxers and Poodles, combining the Boxer's loyalty with the Poodle's hypoallergenic coat. They are affectionate and intelligent dogs, often excelling in obedience and agility competitions.
",Large,Mixed Breed Dogs,10 to 25 inches,44.45,12 to 70 pounds,18.45,10 to 12 years,11,2.4,1,3,3,2,3,3,3.67,4,3,4,3,2.8,2,2,3,3,4,3,3,4,4,2,3,2,4,4,4,4,4,5
Boxmatian,"Boxmatians are a mix of Boxers and Dalmatians, combining the Boxer's energy with the Dalmatian's distinctive coat. They are playful and affectionate dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,19 to 25 inches,55.88,50 to 90 pounds,31.5,10 to 13 years,12,2,1,2,3,2,2,4,3,4,3,2,1,3.4,3,2,3,5,4,5,3.4,3,4,4,3,3,4,4.67,5,4,5,4
Boxweiler,"Boxweilers are a mix of Boxers and Rottweilers, combining the Boxer's loyalty with the Rottweiler's protective nature. They are intelligent and affectionate dogs, often serving as loyal companions and guardians for their families.
",Very Large,Mixed Breed Dogs,21 to 27 inches,60.96,70 to 100 pounds,38.25,8 to 13 years,10,2.8,2,3,4,2,3,2,4.33,5,4,4,2,3,3,2,3,3,4,4,3,4,4,2,2,3,1,3.67,4,3,4,4
Boykin Spaniel,"Boykin Spaniels are medium-sized hunting dogs known for their friendly demeanor and exceptional retrieving skills. They are energetic and eager to please, making them ideal companions for hunters and active families.
",Large,Sporting Dogs,14 to 18 inches tall at the shoulder,40.64,25 to 40 pounds,14.62,10 to 12 years,11,2.8,1,3,4,3,3,4,4.67,5,5,4,3,2.4,4,1,1,2,4,3,3.4,4,4,4,2,3,4,5,5,5,5,4
Bracco Italiano,"Bracco Italianos are Italian hunting dogs known for their distinctive appearance and keen sense of smell. They are intelligent and energetic dogs, often excelling in various canine sports and activities.
",Very Large,Sporting Dogs,22 to 26 inches,60.96,55 to 90 pounds,32.62,10 to 14 years,12,2.6,1,2,4,3,3,3,4.67,5,4,5,3,3,3,2,5,2,3,4,3.2,3,4,2,5,2,3,4.33,4,4,5,4
Braque du Bourbonnais,"Braque du Bourbonnais are French pointing dogs known for their gentle disposition and excellent hunting skills. They are affectionate and loyal companions, often forming strong bonds with their families.
",Very Large,Working Dogs,18 to 23 inches.,52.07,35 to 55 pounds.,20.25,12 to 15 years. ,14,2.2,1,3,3,2,2,3,4.33,5,4,4,4,2.4,2,1,4,4,1,3,3.6,4,4,3,4,3,2,4,5,2,5,3
Briard,"Briards are large and noble herding dogs with a distinctive long, wavy coat and bushy eyebrows. They are intelligent and loyal companions, often serving as guardians for their families.
",Very Large,Herding Dogs,22 to 27 inches tall at the shoulder,62.23,70 to 100 pounds,38.25,10 to 12 years,11,3.4,3,3,4,3,4,3,4.67,4,5,5,2,1.8,1,1,1,3,3,4,3.4,4,4,2,3,4,5,4,4,4,4,4
Brittany,"Brittanys are medium-sized hunting dogs known for their boundless energy and friendly disposition. They are intelligent and eager to please, making them excellent companions for hunters and active families.
",Large,Sporting Dogs,17 inches to 20 inches tall at the shoulder,46.99,30 to 40 pounds,15.75,10 to 13 years,12,2.8,1,3,5,1,4,3,5,5,5,5,4,3.6,3,5,3,4,3,3,3.8,3,5,3,5,3,4,4.33,5,3,5,5
Broholmer,"Broholmers are large Danish mastiffs known for their calm demeanor and protective nature. They are loyal and devoted companions, often forming strong bonds with their families.
",Very Large,Companion Dogs,22 to 30 inches.,66.04,90 to 150 pounds. ,54,8 to 12 years. ,10,3,2,4,3,3,3,3,4,5,4,3,3,3.2,3,2,4,4,3,5,3.2,4,4,3,2,3,2,3,3,3,3,3
Brussels Griffon,"Brussels Griffons are small toy dogs known for their distinctive facial expression and affectionate nature. They are intelligent and lively dogs, often forming strong bonds with their families.
",Small,Companion Dogs,7 to 8 inches tall at the shoulder,19.05,7 to 12 pounds,4.28,12 to 15 years,14,2.8,5,2,5,1,1,2,4.33,5,4,4,3,3,3,3,3,3,3,1,3,3,4,3,1,4,5,4,5,3,4,5
Bugg,"Bugss are a mix of Boston Terriers and Pugs, combining the Terrier's playful personality with the Pug's charming demeanor. They are affectionate and sociable dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,14 to 18 inches,40.64,10 to 25 pounds,7.88,10 to 15 years,12,3.2,5,4,3,2,2,3,3,4,3,2,3,3.2,2,2,4,4,4,2,3.6,3,4,4,3,4,2,3,4,3,2,4
Bull Arab,"Bull Arabs are versatile Australian hunting dogs known for their endurance and determination. They are loyal and protective companions, often serving as working dogs and family pets.
",Very Large,Hybrid Dogs,24 to 27 inches,64.77,60 to 95 pounds,34.88,12 to 15 years,14,2.4,2,1,2,3,4,4,2.33,3,3,1,2,3,2,2,4,4,3,4,3.2,2,4,3,5,2,4,4.33,4,5,4,2
Bull-Pei,"Bull-Peis are a mix of Bulldogs and Shar-Peis, combining the Bulldog's strength with the Shar-Pei's distinctive wrinkles. They are loyal and affectionate dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,16 to 18 inches,43.18,35 to 65 pounds ,22.5,9 to 11 years ,10,2.6,4,2,3,3,1,1,2.33,3,2,2,2,3.6,4,3,4,3,4,3,2.6,3,2,4,2,2,1,2,2,2,2,2
Bull Terrier,"Bull Terriers are muscular and energetic dogs known for their distinctive egg-shaped head and playful personality. They are affectionate and loyal companions, often forming strong bonds with their families.
",Very Large,Terrier Dogs,21 to 22 inches tall at the shoulder,54.61,35 to 75 pounds,24.75,10 to 15 years,12,3,4,3,5,2,1,4,4.67,5,5,4,5,3.6,3,1,5,4,5,2,3.6,5,4,4,4,1,5,4.67,4,5,5,5
Bullador,"Bulladors are a mix of Bulldogs and Labrador Retrievers, combining the Bulldog's strength with the Lab's friendly demeanor. They are loyal and affectionate dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,17 to 20 inches ,46.99,50 to 90 pounds,31.5,10 to 12 years ,11,2.4,2,2,4,2,2,2,4,4,4,4,4,4,4,4,4,3,5,4,3.6,4,4,2,4,4,3,4,4,4,4,4
Bullboxer Pit,"Bullboxer Pits are a mix of Bulldogs, Boxers, and American Pit Bull Terriers, combining the breeds' loyalty and protective instincts. They are energetic and affectionate dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,16 to 20 inches,45.72,50 to 80 pounds,29.25,10 to 14 years,12,2,1,2,3,2,2,2,3.33,4,4,2,2,4,4,4,4,4,4,3,3.8,2,4,4,5,4,3,5,5,5,5,4
Bulldog,"Bulldogs are iconic and affectionate dogs known for their wrinkled face and sturdy build. They are loyal and gentle companions, often forming strong bonds with their families.
",Very Large,Companion Dogs,12 to 15 inches tall at the shoulder,34.29,40 to 50 pounds,20.25,8 to 12 years,10,3.4,5,4,4,3,1,1,3.67,5,4,2,5,4.4,3,5,5,4,5,2,2.6,3,2,2,2,4,1,2.67,2,3,3,4
Bullmastiff,"Bullmastiffs are powerful and protective dogs known for their imposing presence and unwavering loyalty. They are gentle and affectionate with their families, often serving as devoted guardians.
",Very Large,Working Dogs,24 to 27 inches at the shoulder,64.77,100 to 130 pounds,51.75,8 to 10 years,9,3,3,2,4,2,4,2,4.67,5,5,4,3,3.6,1,5,5,2,5,5,3.2,3,3,3,3,4,3,3,2,4,3,5
Bullmatian,"Bullmatians are a mix of Bulldogs and Dalmatians, combining the Bulldog's strength with the Dalmatian's distinctive coat. They are affectionate and playful dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,11 to 24 inches,44.45,41 to 65 pounds,23.85,8 to 12 years,10,2.2,2,1,3,3,2,2,4.33,4,5,4,3,3.4,2,3,4,4,4,3,2.6,1,4,3,3,2,3,4.33,5,4,4,4
Cairn Terrier,"Cairn Terriers are small but sturdy dogs known for their fearless attitude and distinctive shaggy coat. They are intelligent and energetic companions, often displaying a playful and mischievous streak.
",Medium,Terrier Dogs,9 to 10 inches tall at the shoulder,24.13,13 to 14 pounds,6.08,12 to 15 years,14,3.4,5,4,3,1,4,4,4.67,5,5,4,4,3.2,3,1,5,4,3,1,3.6,2,5,3,4,4,3,4.33,5,4,4,5
Canaan Dog,"Canaan Dogs are ancient Middle Eastern herding dogs known for their loyalty and intelligence. They are independent and aloof with strangers but form strong bonds with their families.
",Very Large,Herding Dogs,19 to 24 inches tall at the shoulder,54.61,35 to 55 pounds,20.25,12 to 15 years,14,3.2,4,2,4,3,3,5,3,4,2,3,2,3.4,4,1,5,5,2,3,3.6,5,4,3,3,3,2,3.33,4,3,3,4
Cane Corso,"Cane Corsos are powerful Italian mastiffs known for their imposing presence and protective nature. They are loyal and devoted companions, often serving as guardians for their families.
",Very Large,Working Dogs,23 inches to 27 inches tall at the shoulder,63.5,90 to 120 pounds,47.25,10 to 12 years,11,1.8,1,1,3,1,3,4,3,4,2,3,2,3.8,3,4,5,3,4,4,3.8,4,5,2,5,3,2,4,4,3,5,2
Cardigan Welsh Corgi,"Cardigan Welsh Corgis are sturdy and intelligent herding dogs known for their long body and distinctive fox-like face. They are loyal and affectionate companions, often forming strong bonds with their families.
",Large,Herding Dogs,10 inches to 12 inches tall at the shoulder,27.94,25 to 38 pounds,14.18,12 to 15 years,14,3.8,4,4,4,3,4,3,4,5,4,3,3,3.2,4,1,3,4,4,2,3.8,4,5,2,4,4,3,3,3,3,3,4
Carolina Dog,"Carolina Dogs, also known as American Dingoes, are primitive dogs with a wild appearance and independent nature. They are loyal and devoted companions, often forming strong bonds with their families.
",Large,Hound Dogs,18 to 20 inches at the shoulder,48.26,33 to 55 pounds,19.8,12 to 15 years,14,2.2,2,2,2,1,4,4,3.33,2,3,5,2,3.8,4,2,4,5,4,3,2.8,2,4,2,5,1,3,4.33,4,5,4,3
Catahoula Bulldog,"Catahoula Bulldogs are a mix of Catahoula Leopard Dogs and Bulldogs, combining the breeds' loyalty and protective instincts. They are energetic and affectionate dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,24 to 26 inches,63.5,75 to 100 pounds,39.38,10 to 14 years,12,1.6,1,1,2,3,1,5,3,4,3,2,1,2.8,1,1,5,4,3,4,3.4,2,3,4,5,3,3,5,5,5,5,4
Catahoula Leopard Dog,"Catahoula Leopard Dogs are energetic and intelligent herding dogs known for their striking coat and piercing eyes. They are loyal and protective companions, often serving as working dogs and family pets.
",Very Large,Herding Dogs,20 to 26 inches tall at the shoulder,58.42,50 to 90 pounds,31.5,10 to 14 years,12,1.8,1,1,2,2,3,3,3,5,3,1,1,3,3,1,5,3,3,4,2.4,2,3,3,1,3,3,4,4,3,5,2
Caucasian Shepherd Dog,"Caucasian Shepherd Dogs are large and powerful livestock guardian dogs known for their imposing size and protective nature. They are loyal and devoted companions, often serving as guardians for their families.
",Very Large,Working Dogs,24 to 34 inches,73.66,80 to 220 pounds,67.5,10 to 12 years,11,2.6,2,1,2,3,5,2,2.67,4,2,2,2,3.4,4,4,2,3,4,5,3.2,2,4,4,3,3,2,2.67,2,4,2,3
Cav-a-Jack,"Cav-a-Jacks are a mix of Cavalier King Charles Spaniels and Jack Russell Terriers, combining the breeds' affectionate nature and energetic personality. They are playful and outgoing dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,10 to 17 inches,34.29,13 to 18 pounds,6.98,12 to 17 years,14,3,4,4,3,1,3,3,4,4,4,4,4,3,2,2,4,3,4,2,3.6,4,4,3,4,3,3,3.67,4,3,4,5
Cavachon,"Cavachons are a mix of Cavalier King Charles Spaniels and Bichon Frises, combining the breeds' gentle temperament and affectionate nature. They are playful and sociable dogs, often forming strong bonds with their families.
",Large,Mixed Breed Dogs,12 to 13 inches ,31.75,15 to 35 pounds ,11.25,10 to 15 years ,12,3.8,5,5,5,1,3,3,5,5,5,5,5,2.6,2,1,2,4,4,2,3.6,4,4,3,4,3,2,3.67,4,3,4,5
Cavador,"Cavadors are a mix of Cavalier King Charles Spaniels and Labrador Retrievers, combining the breeds' friendly demeanor and intelligence. They are loyal and affectionate dogs, often forming strong bonds with their families.",Large,Mixed Breed Dogs,18 to 24 inches,53.34,22 to 55 pounds,17.32,10 to 14 years,12,3.4,3,5,4,2,3,3,4.67,5,5,4,3,3.4,3,2,4,4,4,3,3.2,4,4,2,3,3,3,3.67,4,3,4,5
Cavalier King Charles Spaniel,"Cavalier King Charles Spaniels are small, elegant dogs with a regal appearance and a gentle temperament. They are affectionate and sociable companions, often forming strong bonds with their families.
",Medium,Companion Dogs,12 to 13 inches at the shoulder,31.75,13 to 18 pounds,6.98,9 to 15 years,12,3.8,5,5,5,1,3,2,5,5,5,5,5,3.2,3,1,4,4,4,2,3.2,4,4,3,3,2,2,3,3,2,4,5
Cavapoo,"Cavapoos are a mix of Cavalier King Charles Spaniels and Poodles, combining the breeds' friendly nature with the Poodle's intelligence and hypoallergenic coat. They are playful and affectionate dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,9 to 14 inches,29.21,9 to 25 pounds,7.65,12 to 15 years,14,3,3,3,3,2,4,3,4.67,5,5,4,4,2.6,2,1,3,3,4,2,3.2,4,4,3,3,2,3,2.67,3,2,3,5
Central Asian Shepherd Dog,"Central Asian Shepherd Dogs are large and powerful livestock guardian dogs known for their protective nature and independent temperament. They are loyal and devoted companions, often serving as guardians for their families.
",Very Large,Working Dogs,24 to 28 inches,66.04,88 to 110 pounds ,44.55,12 to 15 years ,14,2.6,1,1,4,2,5,2,3.33,3,3,4,2,4.4,4,5,5,5,3,4,2.6,2,5,2,1,3,2,3.33,3,3,4,2
Cesky Terrier,"Cesky Terriers are small, elegant dogs with a distinctive long coat and a friendly disposition. They are intelligent and affectionate companions, often forming strong bonds with their families.
",Medium,Terrier Dogs,10 to 13 inches tall at the shoulder,29.21,13 to 30 pounds,9.68,10 to 15 years,12,3.8,5,4,4,3,3,3,3.33,5,3,2,3,3,1,1,4,5,4,2,3,4,3,3,2,3,3,2.67,2,3,3,5
Chabrador,"Chabradors are a mix of Labrador Retrievers and Chesapeake Bay Retrievers, combining the breeds' loyalty and retrieving instincts. They are energetic and affectionate dogs, often forming strong bonds with their families.
",Very Large,Mixed Breed Dogs,18 to 24 inches,53.34,45 to 80 pounds,28.12,9 to 13 years,11,3.4,4,2,4,3,4,1,3.33,4,4,2,2,3.6,4,3,4,4,3,3,3.4,2,4,4,4,3,3,3.33,3,4,3,4
Cheagle,"Cheagles are a mix of Beagles and Chihuahuas, combining the breeds' playful nature with the Beagle's keen sense of smell. They are energetic and affectionate dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,9 to 14 inches ,29.21,9 to 20 pounds ,6.52,10 to 14 years ,12,2.8,4,4,4,1,1,2,3.67,5,3,3,2,3.2,3,1,5,3,4,2,3.4,2,4,3,4,4,3,3.67,4,4,3,4
Chesapeake Bay Retriever,"Chesapeake Bay Retrievers are powerful and loyal gun dogs known for their retrieving skills and love of water. They are intelligent and affectionate companions, often forming strong bonds with their families.
",Very Large,Sporting Dogs,21 inches to 26 inches tall at the shoulder,59.69,55 to 80 pounds,30.38,10 to 12 years,11,2.2,1,1,3,2,4,4,3,5,3,1,1,4.2,5,3,5,4,4,3,3.2,3,4,3,3,3,4,5,5,5,5,4
Chi Chi,"Chi Chis are a mix of Chihuahuas and Chinese Cresteds, combining the breeds' small size and affectionate nature. They are playful and sociable dogs, often forming strong bonds with their families.
",Small,Mixed Breed Dogs,5 to 12 inches,21.59,4 to 11 pounds,3.38,11 to 20 years,16,2.8,4,2,4,2,2,3,2.67,3,3,2,3,3,2,1,4,4,4,2,3.4,3,4,3,3,4,2,3.67,4,4,3,4
Chi-Poo,"Chi-Poos are a mix of Chihuahuas and Poodles, combining the breeds' small size with the Poodle's intelligence and hypoallergenic coat. They are playful and affectionate dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,5 to 15 inches ,25.4,5 to 20 pounds ,5.62,12 to 15 years ,14,4.2,5,5,5,4,2,3,4.33,5,5,3,3,2.2,2,1,3,2,3,2,3.8,5,5,3,3,3,3,2.33,3,2,2,4
Chigi,"Chigis are a mix of Chihuahuas and Corgis, combining the breeds' small size with the Corgi's sturdy build. They are energetic and affectionate dogs, often forming strong bonds with their families.
",Medium,Mixed Breed Dogs,7 to 12 inches,24.13,10 to 20 pounds,6.75,12 to 14 years ,13,3.4,3,4,5,2,3,2,4,5,5,2,2,3.2,4,1,5,3,3,1,3,4,4,2,3,2,3,4,4,4,4,4
Chihuahua,"Chihuahuas are small but confident dogs known for their big personalities and loyal nature. They are affectionate and fearless companions, often forming strong bonds with their families.
",Very Small,Companion Dogs,6 inches to 9 inches tall at the shoulder,19.05,3 to 6 pounds,2.02,10 to 18 years,14,3.2,5,4,5,1,1,2,4,5,5,2,2,2.6,2,1,5,2,3,1,3.4,4,4,3,3,3,2,2,3,2,1,4
Chilier,"Chiliers are a mix of Chihuahuas and Cavalier King Charles Spaniels, combining the breeds' small size and affectionate nature. They are playful and sociable dogs, often forming strong bonds with their families.
",Small,Mixed Breed Dogs,8 to 12 inches,25.4,6 to 12 pounds,4.05,12 to 16 years,14,2.8,4,2,4,2,2,2,4,4,4,4,3,3.2,2,3,4,4,3,2,3,2,4,3,3,3,2,3.67,4,4,3,4
Chinese Crested,"Chinese Cresteds are small, elegant dogs known for their distinctive appearance and affectionate nature. They are playful and sociable companions, often forming strong bonds with their families.
",Medium,Companion Dogs,11 to 13 inches tall at the shoulder,30.48,Up to 12 pounds,5.4,10 to 14 years,12,3,5,3,5,1,1,3,4.33,4,5,4,4,2.4,2,1,2,5,2,2,3.4,4,3,4,3,3,1,1.67,2,1,2,3
Chinese Shar-Pei,"Chinese Shar-Peis are distinctive dogs known for their wrinkled skin and loyal temperament. They are independent and protective companions, often forming strong bonds with their families.
",Very Large,Working Dogs,18 to 20 inches tall at the shoulder,48.26,40 to 55 pounds,21.38,8 to 12 years,10,2.8,4,2,2,4,2,1,1.67,2,2,1,2,2.8,2,2,5,1,4,3,3.4,3,2,5,2,5,2,2,2,1,3,1
Chinook,"Chinooks are large and powerful sled dogs known for their friendly disposition and strong work ethic. They are intelligent and loyal companions, often forming strong bonds with their families.
",Very Large,Working Dogs,21 to 27 inches tall at the shoulder,60.96,55 to 70 pounds,28.12,12 to 15 years,14,3.2,4,1,5,1,5,4,5,5,5,5,4,3,5,1,2,4,3,4,3.2,4,5,3,2,2,2,3,3,3,3,4
Chion,"Chions are a mix of Chihuahuas and Papillons, combining the breeds' small size and affectionate nature. They are playful and sociable dogs, often forming strong bonds with their families.
",Small,Mixed Breed Dogs,5 to 11 inches,20.32,4 to 11 pounds,3.38,10 to 15 years,12,2.8,4,3,3,2,2,3,3.67,5,3,3,2,3,2,2,3,4,4,2,3.4,3,3,4,3,4,1,3,4,3,2,4
Chipin,"Chipins are a mix of Chihuahuas and Miniature Pinschers, combining the breeds' small size and energetic nature. They are playful and affectionate dogs, often forming strong bonds with their families.
",Small,Mixed Breed Dogs,8 to 12 inches ,25.4,5 to 15 pounds ,4.5,10 to 14 years ,12,3.2,5,4,5,1,1,2,3.67,5,4,2,2,3,2,1,5,3,4,1,2.8,4,3,2,3,2,3,3,4,3,2,5
